localization,price,area,rooms,status,floor,heating_type,size,balkon,ogródek,taras
 Prądnik Biały,500000.0,28.42,1,do zamieszkania,1,miejskie,small,1,0,0
 Wzgórza Krzesławickie,862420.0,55.64,3 ,do wykończenia,2,miejskie,medium,1,0,0
 Prądnik Biały,660000.0,42.29,2 ,do zamieszkania,6,miejskie,medium,1,0,0
 Prądnik Czerwony,2418000.0,137.1,5 ,do wykończenia,5,miejskie,huge,0,0,1
 Grzegórzki,490000.0,26.0,1,do zamieszkania,0,miejskie,small,1,0,0
 Podgórze,734448.0,41.73,3 ,do wykończenia,3,miejskie,medium,1,0,0
 Podgórze Duchackie,948640.0,67.76,3 ,do wykończenia,6,miejskie,large,1,0,0
 Dębniki,770000.0,55.42,3 ,do zamieszkania,3,miejskie,medium,1,0,0
 Bronowice,600000.0,33.0,2,do zamieszkania,3,miejskie,medium,1,0,0
 Prądnik Czerwony,1134000.0,74.33,4 ,do wykończenia,0,miejskie,large,1,0,0
 Podgórze Duchackie,640000.0,42.09,2,do zamieszkania,0,miejskie,medium,1,0,0
 Prądnik Biały,1091662.0,76.34,4 ,do wykończenia,1,miejskie,large,1,0,0
 Grzegórzki,1150000.0,63.3,3 ,do zamieszkania,3,miejskie,large,1,0,0
 Podgórze,860000.0,48.91,2 ,do zamieszkania,3,miejskie,medium,1,0,0
 Swoszowice,449000.0,25.87,1,do zamieszkania,2,gazowe,small,1,0,0
 Czyżyny,487000.0,26.0,1,do zamieszkania,0,miejskie,small,1,0,0
 Podgórze,1449000.0,74.0,3 ,do zamieszkania,0,gazowe,large,0,1,0
 Prądnik Biały,950953.0,71.77,4 ,do wykończenia,0,miejskie,large,0,1,1
 Prądnik Biały,877580.0,79.78,3 ,do zamieszkania,1,gazowe,large,1,1,0
 Zwierzyniec,2292000.0,135.21,4 ,do wykończenia,0,inne,huge,0,1,1
 Swoszowice,769000.0,49.25,3 ,do wykończenia,1,gazowe,medium,1,0,0
 Podgórze,864890.0,66.53,4 ,do wykończenia,1,miejskie,large,1,0,0
 Stare Miasto,1518000.0,92.0,3 ,do remontu,2,gazowe,huge,1,0,0
 Podgórze,863657.0,48.62,3 ,do zamieszkania,0,miejskie,medium,0,1,0
 Grzegórzki,1130000.0,70.0,3 ,do zamieszkania,2,miejskie,large,1,0,0
 Prądnik Biały,870240.0,72.52,4 ,do zamieszkania,2,gazowe,large,1,1,0
 Prądnik Biały,755568.0,47.52,3 ,do zamieszkania,2,miejskie,medium,1,0,0
 Podgórze,914172.0,51.73,3 ,do zamieszkania,2,miejskie,medium,1,0,0
